,title,company_name,company_code,category,report_date,suggestion,writer,report_corp,target_est,current_est,current_est_date,summary,keywords,pdf_link,pdf_id
147,"수소법 통과, 정책 혼란 마무리 국면",두산퓨얼셀,336260,전기 장치 제조,2022-05-06,BUY,한병화,유진투자증권,75000,34800,2022-05-04,"수소발전 관련 시장은 RPS 제도 하에서 운용되지만, 내년부터는 공급비율제와 입찰 시장으로 운영될 예정이다.",수소 발전 청정 사업자 내년 입찰 사용 국내 비율 확보 의무 산업 정책 법제사 위원회 형식 심사 거치 본회의 의결 절대 다수 당인 민주당 이변 최종 법률 공표 제도 운용 공급 운영 준비 기간 천연가스 허용 중장 기적 재정 지원 일정 규모 전량 일부 대통령령 결정 이로 전기요금 회수 산업부,https://markets.hankyung.com/pdf/2022/05/541e363e735b1b24b211382c8e1cd4d9,541e363e735b1b24b211382c8e1cd4d9
148,1Q22 리뷰 : 긍정적 시각 유지,하나투어,039130,여행사,2022-05-04,BUY,이진협,유안타증권,110000,82000,2022-05-03,"1분기 전채 송객인원은 전년대비 +102.7% YoY 증가한 1.55만명 수준이었으며, 이 중 패키지 여행에 대한 선호도를 높여주는 요인으로 작용할 수 있을 것이라 판단하고 있다.",패키지 송객 인원 회복 검사 여행 여행사 지표 해소 노선 제한 의무 대해 불확실 도움 업종 전채 명를 당분간 예약 시기 성수 우호 환경 국내 입국 자가 격리 해제 따라서 아웃 바운드 수요 해외여행 허들 항공 슬롯 문제 선호 역설 요인 정기 증편 속도 항공권 공급 부족 전세기 부정 활용,https://markets.hankyung.com/pdf/2022/05/49eb99257a1a54355043df9773fdee39,49eb99257a1a54355043df9773fdee39
149,2Q22 컴백 폭격 → 3Q22 투어 시작,하이브,352820,음반 제작,2022-05-04,BUY,이혜인,유안타증권,420000,253500,2022-05-03,"2Q22 동사 음반/음원 실적은 역대 최고치를 경신할 것으로 전망되며, 특히 위버스2.0의 런칭과 함께, 성장 모멘텀을 다시 한번 가질 수 있을것으로 기대된다.",버스 공연 앨범 발매 서울 아티스트 온라인 인식 다시 성장 입점 상태 안타 정치 가량 하이픈 패키지 제외 콘서트 방어 간접 참여 계정 변화 콘텐츠 라이브 뷰잉 기여 전반 지표 활동 부터 런칭 모멘텀 한번 기대 연말 예정 누적 여개 세라핌 주문 데뷔 그룹 이례 세븐 돌파 음반 음원 역대,https://markets.hankyung.com/pdf/2022/05/bcff52f46aa7655e0efceaf635b9d765,bcff52f46aa7655e0efceaf635b9d765
150,2022년 골프웨어 패션부문이 심상찮다!,코오롱인더,120110,화학섬유 제조,2022-05-04,BUY,황규원,유안타증권,95000,62600,2022-05-03,"2022년 패션 매출액은 1.3조원(전사매출의 23%차지)으로, 전년 1조원 대비 25%가 성장하고 있으며 골프웨어(클럽 포함)를 중심으로 50 ~ 60% 고속 성장이 예상된다.",패션 성장 골프 웨어 브랜드 국내 아웃도어 전사 차지 인구 골퍼 여성 주목 클럽 중심 고속 한국 고가 판매 호조 추세 달성 대감 매수 나가야 순환 국면 진입 강세 타이어 코드 참고 우상 흐름 급락 코오롱스포츠 확장 전략 구성 주력 제품 외형 시기 도전 구조조정 철수 규모 기대 세대 배경,https://markets.hankyung.com/pdf/2022/05/1dc4e0e2ab97c39cc62ae6878c817c94,1dc4e0e2ab97c39cc62ae6878c817c94
151,"22년 연간 OP 1,390억원 전망",원익QnC,074600,유리제품 제조,2022-05-04,BUY,이재윤,유안타증권,51000,33400,2022-05-03,원재료 가격 상승에 따른 수혜를 받고 있는 연결자회사 모멘티브의 실적 호조로 2분기에도 국내 쿼츠웨어 매출액은 감소세를 지속할 전망이다.,쿼츠 재료 웨어 멘티 모멘텀 지연 자회사 강화 국내 매입 상반기 전자 하이닉스 장비 시점 판매 수량 우호 환율 여건 국내외 수혜 특징 성장 더욱 둔화 전사 견인 반도체 부장 고객 사향 하반기 그동안 코팅 부의 기여 올해 긍정 요인 분석 주력 가도 해당,https://markets.hankyung.com/pdf/2022/05/cc44f417fefc5017b010942a8ff7545a,cc44f417fefc5017b010942a8ff7545a
152,실적 눈높이 대폭 상향 필요,에코프로비엠,247540,배터리 제조,2022-05-04,BUY,김광진,유안타증권,720000,511000,2022-05-03,"1Q22 잠정실적 매출액 6,625억원, 영업이익 411억원 달성. CAM4N 가동 중단 영향으로 생산 및 매출 차질 우려됐으나, 주요 메탈 가격 상승분 판가 반영 등으로 인해 P와 Q 모두 상승한 것으로 보인다.",가동 생산 조기 공급 잠정 달성 중단 차질 우려 라인 손실 최소 메탈 배터리 성은 제거 연중 최대 고객 주문 연내 유력 발표 컨퍼런스 연초 가능성 존재 언급 주목 필요,https://markets.hankyung.com/pdf/2022/05/90632d84e45f06d63a5afbaab52d0c83,90632d84e45f06d63a5afbaab52d0c83
153,1Q22 리뷰 : DLS와 로보틱스의 사업 성과가 생각보다 빠르다,두산,000150,회사 본부 및 경영 컨설팅,2022-05-04,BUY,최남곤,유안타증권,220000,89600,2022-05-03,"두산의이드가 발표한 1Q22 실적 발표에서 전자BG 부문과 정보통신부문은 전년 동기 대비 영업이익 감소, 기타 사업 매출액은 증가했다.",로보틱스 흑자 전환 동기 전자 성장 자체 인상 하반기 우리 주목 회사 수요 가치 두산 지배 원자재 중단 제거 기고 발생 정보 통신 해외 여부 급감 로고 교체 발표 부분 가지 글로벌 교역 조건 악화 핵심 사업인 견조하 상반기 반도체 서버 메모리 네트워크 데이터 트래픽 고속 손실 소재 에너지 자동차,https://markets.hankyung.com/pdf/2022/05/e9dee3a98630f084537b3b09ad6b01c3,e9dee3a98630f084537b3b09ad6b01c3
154,둔화된 대출 성장률은 2분기부터 개선될 전망,카카오뱅크,323410,은행,2022-05-04,BUY,"박혜진,임수진",대신증권,52000,41100,2022-05-02,1분기 순이익은 컨센서스 772억원을 -13.5% 하회하고 우리의 추정 667억원에 부합했으며 2분기부터는 조금씩 개선될 전망이다.,대출 신용 여신 금리 증권 둔화 담보 축소 플랫폼 제휴 따라서 성장 해소 우량 차주 대상 자연 한편 대손 중립 회하 우리 창립 최대 달성 대부분 변동 잔액 기조 마이너스 사가 순조 보임 계좌 증권사 중이 피플 펀드 체크카드 취급 해외 송금 수가 판관 직전 누적 카카오 뱅크 지표,https://markets.hankyung.com/pdf/2022/05/02561f4d64731f7e2478b02394a0e826,02561f4d64731f7e2478b02394a0e826
155,오딘 外 차기 신작 흥행 필요,카카오게임즈,293490,소프트웨어 개발,2022-05-04,BUY,이지은,대신증권,80000,59100,2022-05-03,"오딘의 국내 매출은 1Q부터 자연 감소세에 접어들었으나 대만 실적은 흥행 가도를 달리고 있으나 반영일수 부족으로 인해 소폭 반등이 예상되면서,  2022년 한국과 대만의 일 평균 매출액은 약 15억원, 7억원으로 추정된다.",게임 오딘 흥행 국내 신작 장르 개발 대감 대만 기여 우마 무스 부터 의존 육성 시뮬레이션 엑스엘게임즈 일본 출시 순위 글로벌 할증 프리미엄 자연 런칭 가도 달리 일수 부족 미미 온기 신규 컨텐츠 편의 업데이트 반등 한국 배지 위해 자회사 라이온하트 스튜디오 차기 필요 사전예약 시작 경주마 의인화 마켓 대치,https://markets.hankyung.com/pdf/2022/05/7a7683f2103be02f39c53c7e3db0befa,7a7683f2103be02f39c53c7e3db0befa
156,톡비즈의 안정적 성장과 콘텐츠 해외 진출 본격화,카카오,035720,인터넷 정보매개 서비스,2022-05-04,BUY,허지수,대신증권,124000,87300,2022-05-02,"카카오 글로벌 비즈니스는 모바일, 게임 등 다양한 비즈니스 솔루션으로 성장하고 있으며 올해 매출 1.2조원 예상.",카카오 성장 올해 글로벌 광고 진출 비즈 커머스 엔터테인먼트 거래 코마 웹툰 북미 콘텐츠 채널 메시지 선물 블록 체인 카카오페이지 집중 국외 자회사 분가 구분 산출 별로 기업가 안정 싱크 간편 회원 가입 스토어 비즈니스 솔루션 귀결 지그재그 달성 배송 명품 브랜드 입점 미래 프랑스 인도네시아 원년 타파스 디쉬 우시아,https://markets.hankyung.com/pdf/2022/05/0ab29019dc2dc423ad9f1cc4bf7a8f0f,0ab29019dc2dc423ad9f1cc4bf7a8f0f
157,매분기 최고치 경신,에코프로비엠,247540,배터리 제조,2022-05-04,BUY,전창현,대신증권,610000,511000,2022-05-03,"2차전지 업종 전반 반도체 부족에 따른 EV 전방 수요 부진 속에서도 견조한 NCM/NCA 하이니켈 양극재 수요가 확인되며 분기 최대 매출액 달성. 22년 매출액은 3.8조, 영업이익 2,605억원으로 기존 추정치 대비 매출이 25%, 영업이익은 +13% 상향 조정된다.",수요 업종 견조 최대 멀티 정치 가동 부품 매수 산출 근거 달성 전반 반도체 부족 전방 부진 하이 니켈 하량 메탈 연동 별로 차지 성장 견인 성은 라인 차별 서프라이즈 화재 중단 생산 중심 사상 경신 가파르 에코 프로비 증권 지표,https://markets.hankyung.com/pdf/2022/05/ea04ecafb718e50499429f0072e4a721,ea04ecafb718e50499429f0072e4a721
158,"1Q도 깜작 실적,  2Q 성장 속에 저평가",심텍,222800,전자부품 제조,2022-05-04,BUY,박강호,대신증권,66000,51200,2022-05-03, 2022년 1분기 영업이익은 839억원으로 종전 추정(752억원) 및 컨센서스를 상회하고 밸류에이션 매력도 상승여력은 충분하며 투자의견 매수.,밸류 메모리 전환 종전 연속 중견 업체 최대 제품 믹스 매력 여력 상존 매수 포인트 호실 글로벌 가속 화로 패키지 모듈 하량 공급 국내 반도체 업계 낙수 제품군 포트폴리오 고부 하반기 심텍 증권 지표,https://markets.hankyung.com/pdf/2022/05/cd7b4531bd1455d84d8ab86b49572444,cd7b4531bd1455d84d8ab86b49572444
159,신사업 투자로 글로벌 진출 초석을 다지는 시기,NAVER,035420,인터넷 정보매개 서비스,2022-05-04,BUY,허지수,대신증권,380000,281000,2022-04-29,네이버쇼핑은 쇼핑광고와 같은 커머스 매출 비중이 높아져 수익모델 다각화로 인해 1분기 영업이익률 28%로 높은 성장세를 유지했다.,웹툰 커머스 결제 쇼핑 인식 거래 성장 해외 콘텐츠 글로벌 대금 네이버 외부 파이 낸셜 플랫폼 가치 전사 손익 솔루션 피파 페이 포털 구분 산출 별로 서치 기업가 기여 구조 한국 달성 유료 화가 이제 시작 만큼 가능 쇼핑광 수익모델 다각 화로 둔화 광고 브랜드 스토어 라이브 상대 아마존 알리바바,https://markets.hankyung.com/pdf/2022/05/b0c6f62d7f5331c5da4b2d3fa5e86ee9,b0c6f62d7f5331c5da4b2d3fa5e86ee9
160,시장 기대치 부합한 안정적 실적 달성 지속,레이언스,228850,의료기기 제조,2022-05-04,BUY,박종선,유진투자증권,16000,12150,2022-05-03,"1 분기 실적에서 주력 사업인 덴탈용 및 메디컬용, VET, 그리고 산업용의 매출 성장으로 인해 시장 컨센서스(매출액 353억원, 영업이익 64억원)에 부합하는 수준이며 수익성이 개선될 것으로 예상하기 때문임.",회복 주력 사업인 성장 점차 검사 장비 긍정 것임 전방 별로 덴탈 비롯 산업 전반 최대 덴탈용 컬용 의료기기 양호 디텍터 신제품 반도체 모바일 진입 여력 괴리율 보유,https://markets.hankyung.com/pdf/2022/05/96dbe703fc9c3387a283d030a9c01bf5,96dbe703fc9c3387a283d030a9c01bf5
161,"1Q22 Review: P↑, Q -, C↑",카카오뱅크,323410,은행,2022-05-04,BUY,정원석,하이투자증권,60000,41250,2022-05-03,하반기 NIM은 2.22%로 전분기대비 9bp 상승했으며 고신용자 신용대출이 중단된 상황에서 중금리 대출을 확대하며 분기 성장률이 낮아졌으며 자금 조달 비용률은 기준 금리 인상에 따라 13.88%를 기록했다.,대출 금리 성장 신용 마진 모습 인상 충당금 신규 관리 광고 중단 가입자 규제 런칭 담대 잔액 하반기 소호 여부 포트폴리오 판관 전입 긍정 지표 기준금리 회하 적립 상태 시중 은행 가파른 고객 중장 년층 유입 원화 채권 금융 당국 가계 정체 부분 비대 둔화 회사 제시 타겟 중반 달성,https://markets.hankyung.com/pdf/2022/05/17aad6784c5daa527304e9fb0cc4f804,17aad6784c5daa527304e9fb0cc4f804
162,출하량(Q) 증가+판가(P) 상승 효과,에코프로비엠,247540,배터리 제조,2022-05-04,BUY,정원석,하이투자증권,650000,511000,2022-05-03,"삼성 SDI Gen5 배터리에 적용되기 시작한 NCA 수요가 크게 증가하면서 전체 출하량이 전분기 대비 14% 가량 증가한 것으로 추정되며 양극재 주요 원재료인 니켈, 코발트, 망간 등 가격이 지난해 하반기부터 가파르게 상승해 판가 인상 효과가 약 15~20%로 예상된다.",수요 가량 업체 매수 하반기 배터리 재료 가파르 인상 발생 기대 문제 완성 생산 가능성 장기 전기차 가동 전세계 증설 삼성 시작 하량 니켈 코발트 망간 리튬 전가 성장 주력 고객 호실 러시아 우크라이나 사태 부품 수급 일부 차질 중국 봉쇄 조치 반도체 공급 부족 매크로 전방 산업 우려 시각,https://markets.hankyung.com/pdf/2022/05/8c2f7909a578a71a94700f35d8cafa73,8c2f7909a578a71a94700f35d8cafa73
163,FEARLESS,하이브,352820,음반 제작,2022-05-04,BUY,이현지,유진투자증권,430000,253500,2022-05-03,"방탄소년단의 서울 콘서트 매출이 반영되며 공연매출은 견조했으나 엔하이픈 외에 소속 아티스트의 활동이 부재했던 탓에 앨범 매출 성장이 부진했고, by BTS MD 판매 호조로 인해 1분기 영업이익은 370억원을 기록하며 최근 낮아진 컨센서스에 부합함.",아티스트 예정 방탄소년단 활동 일본 세븐 기대 연매출 하이픈 앨범 판매 성장 시작 세라핌 데뷔 이외 동안 버스 하향 예견 컨센 하이브 서울 콘서트 소속 부재 호조 인식 물량 제한 모든 최대 발매 주문 만장 이례 전작 기여 라스베가스 공연 팬미팅 오프라인 재개 견조하 모멘텀 준비 프로젝트 순차 가시 월말,https://markets.hankyung.com/pdf/2022/05/91d96560e12220fae856c0881b1bdb7a,91d96560e12220fae856c0881b1bdb7a
164,"오딘이 순풍을 타긴 했으나,",카카오게임즈,293490,소프트웨어 개발,2022-05-04,BUY,정의훈,유진투자증권,69000,59100,2022-05-03,"카카오 VX, 세나테크놀로지 등 비게임 부문의 매출 부진에도 불구하고 1분기 매출은 하향 안정되는 추세를 보였지만, 영업이익은 전년 대비 소폭 상승하며 영업이익을 웃돌았다.",게임 오딘 국내 카카오 하향 정치 신작 편입 출시 일본 기여 장르 순위 달성 부재 테크놀로지 작년 성장 부진 만회 회사 인력 유입 임금 인상 인건비 환산 초반 안정 추세 업데이트 플레이스토어 견조 모습 대만 중반 연내 예고 더욱 상반기 대작 우마 무스 미소녀 수집 흥행 가능성 섣불리 사실 불문,https://markets.hankyung.com/pdf/2022/05/1b41e10ebd73f5a00070d3fdd1ff5097,1b41e10ebd73f5a00070d3fdd1ff5097
165,안정적 로열티 매출로 수익성 개선 지속 전망. Valuation 매력 보유,칩스앤미디어,094360,반도체 제조,2022-05-04,NR,박종선,유진투자증권,0,20800,2022-05-03,"한국투자파트너스운용 PEF가 설립하는 SPC로 최대주주가 변경되었으나, 회사 경영에 미치는 영향은 미미할 전망이다.",로열티 안정 최대 라이선스 변경 경영 텔레칩스 보유 한국 파트너 성장 긍정 미국 중국 자동차 가전 십억원 점차 주주 회사 칩스 미디어 주식 운용 설립 예정 나머지 고객 것임 단순 성격 추진 양호 연속 달성 중심 발생 적임 견인 내년 모바일 비수 기이 글로벌 계약,https://markets.hankyung.com/pdf/2022/05/b7244d885ba3d47576fe80c4d3e9bb21,b7244d885ba3d47576fe80c4d3e9bb21
166,탄탄해지는 성장 가시성 목표주가 상향,에코프로비엠,247540,배터리 제조,2022-05-04,BUY,한병화,유진투자증권,600000,511000,2022-05-03,"배터리 양극재 업체가 중장기 성장을 하기 위해서는 밸류체인 내재를 통한 원가경쟁력 확보가 필수인데, 에코프로비엠은 케파 증설 계획을상향한 미국의 전기차 시장 성장 가시성이 높기 때문에 투자의견을 '매수'로 유지했다.",성장 에코 차세대 확보 배터리 프로 가동 생산 밸류 체인 재화 개발 가시 업체 장기 상용 급증 라인 화재 공백 상쇄했다 시작 제품 경쟁력 지향 화가 필수 구체 머티리얼즈 리튬 제조 이노베이션 싸이클 관계 자체 확장 상대 재료 수급 적정 코발트 프리 망간 리치 고체 전해질 소재 시기 경쟁 들보,https://markets.hankyung.com/pdf/2022/05/b789088dbbe60c5251cba83490250d65,b789088dbbe60c5251cba83490250d65
167,"실적 성장 지속, 2분기 최대 실적 달성 전망",바텍,043150,의료기기 제조,2022-05-04,BUY,박종선,유진투자증권,55000,39950,2022-05-03,"전일 발표한 1 분기 잠정실적(연결기준)은 매출 비중이 높은 북미, 유럽 지역 모두 강한 성장세가 지속되고 수익성이 양호한 3D 신제품의 매출이 유지되면서 매출액 860 억원, 영업이익 152억원을 달성함.",성장 달성 제품 전일 발표 잠정 성함 안정 긍정 중국 동계 올림픽 코로나 일시 동기 중장 기적 기여 최대 북미 유럽 지역 양호 신제품 여력 괴리율 보유 십억원,https://markets.hankyung.com/pdf/2022/05/b15a0cc15d8ebbbae2c024f955400637,b15a0cc15d8ebbbae2c024f955400637
168,1Q22 Review: 낮아진 눈높이,DL이앤씨,375500,토목 건설,2022-05-03,BUY,배세호,하이투자증권,78000,59600,2022-05-02,"주택/건축 부문의 마진 하락, DL건설 실적 부진으로 인해 영업이익 부진의 주요 요인은 정비사업 매출 감소와 원재료비 상승에 따른 영향이다.",주택 건축 건설 수주 하락 재료 가이던스 달성 악화 부진 요인 마진 보수 정비 물류 센터 믹스 규모 불확실 조원 매출원가 하향 성률 중대 재해 발효 전후 현장 운영 분도 일부 자회사 상대 물량 공사 제외 러시아 플랜트 심화 측면 대해 접근 해외 파이프라인 긍정 잔고 정비사 차지 착공 지연,https://markets.hankyung.com/pdf/2022/05/ee89b04671ebb54d9ac2751b81ba974a,ee89b04671ebb54d9ac2751b81ba974a
169,무엇을 상상하든 그 이상,롯데칠성,005300,음료 제조,2022-05-03,BUY,이경신,하이투자증권,240000,200000,2022-05-02,"음료부문은 전년동기 코로나 19 관련 낮은 베이스에 신제품 수요확대가 반영되면서 개별기준 +12.2% YoY 의 높은 외형성장 및 영업이익률 을 기록했고, 주류 부문도 유흥채널의 매출액이 크게 증가하면서 영업실적 레벨업 측면에서 돋보인다.",성장 흐름 가동 베이스 제품 기대 주류 음료 신제품 레벨 측면 재료 채널 가정 호실 외형 인상 대응 부분 필요 가능성 유흥 레버리지 여타 업체 가정은 동기 코로나 개별 제로 탄산 지배 브랜드 확보 선제 진행 포트폴리오 환경 마진 주목 뒷받침 오프닝 공략 의미 현이 가시 분과 맥주 클라우드 중심,https://markets.hankyung.com/pdf/2022/05/4a23b07177279ffd22e358d836a8178d,4a23b07177279ffd22e358d836a8178d
170,정해진 길,솔루엠,248070,전자부품 제조,2022-05-03,BUY,고의영,하이투자증권,38000,24250,2022-05-02,"원재료 상승분을 반영한 판가 인상과 SMPS 관련 신제품 효과 덕분으로 ESL 의 AsP 는 전년 대비 +9.5% 상승한 반면, 뉴튼의 비중이 확대된 마진 하락폭은 YoY로 3%p였던 것으로 파악되고 있다.",신제품 모듈 환율 수주 재료 북미 회사 호적 발생 유로화 성장 전자부품 라운드 활동 정해진 다변 외형 인상 덕분 슬림 파워 삼성 전자 프리스타일 공급 핵심 기대 유럽 중이므 노출 제품 생산 달러 결제 이처럼 마진 하락 약세 가가 뉴튼 한편 활용 플랫폼 속도 중장 기적 멀티 프리미엄 부여 요약,https://markets.hankyung.com/pdf/2022/05/b6f7704a4ea549536ad47b76d8e1f2be,b6f7704a4ea549536ad47b76d8e1f2be
171,부담 없이 살수 있는 구간,한솔케미칼,014680,화학물질 제조,2022-05-03,BUY,정원석,하이투자증권,360000,243000,2022-05-02,"동사의 NB라텍스 업황이 급격히 무너진 가운데 반도체/디스플레이용 과산화수소의 원재료가 되는 석유, 천연가스 가격 상승으로 수익성 둔화 우려가 부각되었으나 1Q22를 바닥으로, 약 1.5조원 가량이 낮아졌다.",라텍스 이차전지 재료 반도체 소재 하락 하반기 디스플레이 과산화수소 우려 상승세 제품 시작 가량 시가총액 업황 장갑 국내 업종 가파른 회복 인상 조치 방어 긍정 양호 고객 수요 양산 파운드리 가동 매수 활용 첫째 합성 고무 일종 의료 리용 사용 둘째 기점 주력 사업인 석유 천연가스 둔화 부각 바닥 라인,https://markets.hankyung.com/pdf/2022/05/cddb73ce0943ff5bd3c7b40eb7b3230e,cddb73ce0943ff5bd3c7b40eb7b3230e
172,"1Q 호조, 전장향 카메라 매출 확대",파트론,091700,전자부품 제조,2022-05-03,BUY,박강호,대신증권,16000,11500,2022-05-02,"삼성전자 보급모듈의 매출 호조와 전장용 카메라 모뎀, LED 모터 등의 신규사업 확대로 인해 국내 중견 업체 중 1분기 기준으로 높은 영업이익을 예상한다.",모듈 카메라 공급 양호 갤럭시 업체 전장 호조 시리즈 지문 인식 스마트폰 국내 포인트 신규 전자 모델 전자담배 종전 전반 배경 광학 센서 긍정 기여 차지 장용 중견 보급 보정 부품 현대 자동차 그룹 전기자동차 점유 고객 대상 이원화 시작 회사 기대 사업인 무선통신 제품 라우터 다른 변동성 성장,https://markets.hankyung.com/pdf/2022/05/2f34e0c6d76835892ab45a646b081361,2f34e0c6d76835892ab45a646b081361
173,"걱정거리 하나 없는 단기, 중기, 장기 전망",롯데칠성,005300,음료 제조,2022-05-03,BUY,"한유정,정한솔",대신증권,270000,200000,2022-05-02,"롯데칠성의 연결 기준 매출액은 6,263억원, 영업이익은 597억원으로 종전 대신증권 추정 영업이익 458억원 상회했으나 음료 및 주류 전반에 걸친 점유율 상승 흐름으로 적용 할인율을 10%로 축소해 목표주가 상향 조정했다.",점유 음료 인상 종전 할인 롯데 증권 맥주 정치 산정 주류 전반 흐름 축소 연초 생산 효율 가율 신제품 출시 신규 수요 성의 제로 탄산 레귤러 제품군 판매 동기 각종 원부 자재 압박 제품 믹스 발표 주정 유흥 가정 보수 수치 칠성 지표,https://markets.hankyung.com/pdf/2022/05/f6ee453bd9ec9277336ee9eb97fbbab9,f6ee453bd9ec9277336ee9eb97fbbab9
174,자회사 실적에 힘입은 어닝 서프라이즈,녹십자,006280,의약품 제조,2022-05-03,BUY,"임윤진,한송협",대신증권,240000,193000,2022-05-02,"2022년 연결 영업이익 추정치 기존 904억원에서 1,267억원으로 조정했으나, 실적 추정 기간 변경 에 따라 목표주가 유지 1Q22 Review. 1분기 영업이익은 4,169억원, 매출액은 3,680억 원, 영업익 72억원을 기록했다.",가치 성장 수출 코로나 백신 유통 물량 자회사 녹십자 상위 약사 산출 정치 기간 변경 자체 개발 개량 신약 복합 판매 호조 처방 의약품 헌터 일본 해외 달성 질병 수주 지씨 검체 검사 서비스 용역 역대 최대 엠에스 진단 키트 남반구 독감 진자 증권 지표,https://markets.hankyung.com/pdf/2022/05/72a13d49ad25295af26a04596060032d,72a13d49ad25295af26a04596060032d
175,F& 락다운 해제 염두한 투자 전략 필요,F&F,383220,의복 제조,2022-05-03,BUY,"유정현,정한솔",대신증권,180000,141500,2022-05-02,"2분 비수기임에도 불구하고 고마진의 중국 매출 성장률 둔화와 국내 면세 채널의 부진으로 영업이익과 순이익이 감소할 것으로 예상되어 목표주가를 180,000원으로 하향했다.",중국 하향 성장 락다운 국내 면세 채널 매우 하나 리스크 것임 계절 비수 장기 화로 고마 진의 둔화 부진 악화 불가피 상하이 베이징 도시 중단 점포 이나 피해 보임 양호 중이 해제 회복 지금 통과 법인 급증 학기 수요 오프닝 브랜드 유통 수수료 수출 육박 달성 증권 지표,https://markets.hankyung.com/pdf/2022/05/6c5bffd4a2c6150449e3b771c30b92e8,6c5bffd4a2c6150449e3b771c30b92e8
176,다양한 이익 회수로 서프라이즈 달성,메리츠증권,008560,금융 지원,2022-05-03,HOLD,정태준,유안타증권,6500,6830,2022-05-02,"부실채권에 대한 담보 물건 매각에 따른 지연손해금 회수가 이자이익과 기타수익으로 반영되어 목표주가를 기존 5,500원에서 6,000원으로 상향하고 트레이딩 및 상품 손익이 추정치를 크게 상회한 것으로 판단된다.",부실 채권 손익 채무 보증 담보 부동산 매각 지연손해금 회수 해외 에너지 헤지 거래 트레이딩 상품 자산 물건 호주 이자 비상 주식 판관 비도 비율 정치 성공 업황 부진 서프라이즈 달성 긍정 여력 제한 대출 금은 보이 체력 보기 브로커 리지 관리 자본 잔액 편입 대형 상환 예정 대로 하락,https://markets.hankyung.com/pdf/2022/05/47fda438ea31b45573ecec76e2ea83ae,47fda438ea31b45573ecec76e2ea83ae
177,비수기에 서프라이즈,롯데칠성,005300,음료 제조,2022-05-03,BUY,박은정,유안타증권,250000,200000,2022-05-02,"롯데칠성은 원부자재 가격 상승 등의 부담요인이 존재했으나 물량 증가에 따른 가동률 상승을 바탕으로 영업이익 3,899억원, 329억원 달성하며 컨센서스를 35% 상회했다.",롯데 음료 성장 탄산 주류 물량 가동 믹스 성의 원부 자재 제품 인상 수요 달성 추산 점유 제로 칠성 요소 존재 수기 레버리지 특징 성은 전반 레귤러 고성 견인 생수 에너지음료 마진 품목 주스 단종 손익 방어 주력 기저 가수 가량 하나 가율 대폭 서프라이즈 가정 효율 제시 가이던스 보수,https://markets.hankyung.com/pdf/2022/05/121efe25c026c656d08c88543ca16071,121efe25c026c656d08c88543ca16071
178,"자회사 실적 급감, 점진적 회복 기대",DL이앤씨,375500,토목 건설,2022-05-03,BUY,김기룡,유안타증권,90000,59600,2022-05-02,"1분기 주택 분양 실적은 인허가, 사업승인 지연 등으로 3,000세대 미만에 그친 만큼 2분기 10, 세대 이상의 신규 수주 및 해외수주 성과가 중요해질 전망이다.",수주 주택 분양 성과 요인 러시아 지연 세대 상치 플랜트 건설 부진 가이던스 달성 하반기 신규 공백 만큼 사태 자회사 급감 잠정 전사 견인 가율 원자재 확보 대형 사우디 카타르 미국 파이프라인 커버 허가 승인 계획 실질 여부 대해 업종 상대 착공 해소 제한 해외 마련 우크라이나 부정 해당 안정화,https://markets.hankyung.com/pdf/2022/05/98ae112a697a58e80f5a2d61ad0965ce,98ae112a697a58e80f5a2d61ad0965ce
179,판관비 증가로 영업이익 시장 기대치 하회,종근당,185750,의약품 제조,2022-05-02,BUY,"임윤진,한송협",대신증권,120000,99000,2022-04-29,"2월 휴마시스로부터 전문가용 코로나19 항원 진단키트 도입. 원외 클리닉 등 공동판매 본격화되며 관련 매출액 107억원 신규 반영, 영업이익은 나파벨탄 해외 임상 중지에 따른 연구비 감소에도 불구 인건비, 판관비의 증가 등으로 OPM 7.2% 기록 2022년 영업이익 1,095억 전망이다.",나파 해외 중지 구비 주력 품목 케이 프롤리 달성 리피 로우 회복 누비아 머크 자진 가인 단행 마시스 로부터 전문 가용 코로나 항원 진단 키트 도입 원외 클리 공동 판매 신규 임금 인건비 오프라인 마케팅 심포지엄 판관 식약처 조치 성장 종근당 증권 지표,https://markets.hankyung.com/pdf/2022/05/5ec49fa0c7ac605e176ce2529ae60526,5ec49fa0c7ac605e176ce2529ae60526
180,한화테크윈 하드 캐리,한화에어로스페이스,012450,항공기 부품 제조,2022-05-02,BUY,정의훈,유진투자증권,58000,53300,2022-04-29,한화디펜스는 해외 매출이 감소했지만 매출과 영업이익 모두 성장할 것으로 예상된다.,한화 중국 디펜스 예정 테크 역대 최대 견인 인도 업적 해외 잔고 바탕 발표 호주 시스템 하반기 코로나 성장 자회사 쎄트렉아이 편입 정치 주춤 항공 회복 민수 흑자 전환 대수 물량 지연 일시 이기 상반기 우선 협상 레드 장갑차 총선 방산 생명보험 코어 종료 미주 반도체 부품 공급 리스크 일부,https://markets.hankyung.com/pdf/2022/05/a5d76ed70d30fd0bc8635f3e24e12ee1,a5d76ed70d30fd0bc8635f3e24e12ee1
